题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
Experimental_and_theoretical_study_of_silicon-doped_Sb2Te3_thin_films:_Structure_and_phase_stability,Xuelai Li,Feng Rao,Xuelai Li,"Xuelai Li, Feng Rao, Zhitang Song, Kun Ren , Weili Liu, Zhimei Sun",Applied Surface Science,Q1,5.155,257,10,4566-4568,2011,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",https://www.sciencedirect.com/science/article/pii/S0169433210017459?via%3Dihub,2011aps-lixuelai.pdf,2011aps-lixuelai.jpg,"The influence of Si in Sb2Te3 on structure and phase stability was studied by experiments and ab initio calculations. With the increase of Si content in Sb2Te3 samples, the crystallization temperature increases and the crystalline grain size decreases. The incorporation of Si atoms into Sb2Te3 lattice is energetically unfavorable and hence Si atoms most probably accumulated in the boundaries of Sb2Te3 grains. ",
Electronic_origin_of_the_anomalous_solid_solution_hardening_of_Y_and_Gd_in_Mg:_A_first-principles_study,Gao Lei,Zhou Jian,Chen Rongshi,"Gao Lei, Zhou Jian, Sun Zhimei, Chen Rongshi, Han Enhou",Chinese Science Bulletin,Q2,1.649,56,10,1038-1042,2011,"SCIENCE CHINA PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA",https://link.springer.com/article/10.1007%2Fs11434-010-4052-0,2011chiscibull-gaolei-electronic_origin.pdf,2011chiscibull-gaolei-electronic_origin.jpg,"Y and Gd demonstrate anomalous solid solution hardening efficiency, which cannot be understood using the elastic impurity-dislocation interaction theory. We performed first-principles calculations to investigate the effect of different alloying elements such as Al, Zn, Y, and Gd on the chemical bonding of Mg solid solutions. The present calculations clearly show that the anomalous solid solution hardening of Y and Gd in Mg may be understood based on the increased bonding strength of both Mg-Y (Gd) and Mg-Mg.",
First-principles_calculations_of_the_beta'-Mg7Gd_precipitate_in_Mg-Gd_binary_alloys,Gao Lei,Zhou Jian,Zhou Jian,"Gao Lei, Zhou Jian, Sun Zhimei, Chen Rongshi, Han Enhou",Chinese Science Bulletin,Q2,1.649,56,11,1142-1146,2011,"SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA",https://link.springer.com/article/10.1007%2Fs11434-010-4061-z,2011chiscibull-gaolei-firstprinciples.pdf,2011chiscibull-gaolei-firstprinciples.jpg,"The metastable beta' phase is often the most effective hardening precipitate in Mg-Gd based alloys. In this paper, the structural, elastic and electronic properties of the recently identified beta'-Mg7Gd precipitate in Mg-Gd binary alloys were investigated using first-principles calculations based on density functional theory. The lattice mismatches between the coherent beta'-Mg7Gd precipitate and alpha-Mg matrix are discussed and used to rationalize theexperimentally observed morphology of the precipitate. The mechanical properties were investigated through analysis of the single-crystal elastic constants and the polycrystalline elastic moduli. It is found that beta'-Mg7Gd is brittle in nature. Strong covalent bonding in beta'-Mg7Gd, as inferred from its electronic structure, further explains its mechanical properties. Our theoretical results show good agreement with experimental measurements.",
Theoretical_investigation_on_the_transition-metal_borides_with_Ta3B4-type_structure:_A_class_of_hard_and_refractory_materials,Naihua Miao,Baisheng Sa,Zhimei Sun,"Naihua Miao, Baisheng Sa, Jian Zhou, Zhimei Sun",Computational Materials Science,Q2,2.644,50,4,1559-1566,2011,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",https://www.sciencedirect.com/science/article/pii/S0927025610006865?via%3Dihub,2011CMS-miao-Ta3B4.pdf,2011CMS-miao-Ta3B4.jpg,"Based on density functional theory, we have systematically studied the structural stability, mechanical properties and chemical bonding of the transition-metal borides M3B4 (M = Ti, V. Cr, Zr, Nb, Mo, Hf, Ta, and W) for the first time. All the present studied M3B4 have been demonstrated to be thermodynamically and mechanically stable. The bulk modulus, shear modulus. Young's modulus, Poisson's ratio, microhardness, Debye temperature and anisotropy have been derived for ideal polycrystalline M3B4 aggregates. In addition, the relationship between Debye temperature and microhardness has been discussed for these isostructral M3B4. Furthermore, the results of the Cauchy pressure, the ratio of bulk modulus to shear modulus, and Poisson's ratio suggest that the valence electrons of transition metals play an important role in the ductility of M3B4. The calculated total density of states for M3B4 indicates that all these borides display a metallic conductivity. By analyzing the electron localization function, we show that the improvement of the ductility in these M3B4 might attribute to the decrease of their angular bonding character. ",
First-principles investigation of mechanical and thermodynamic properties of the rare earth intermetallic YbAl3 under pressure,"Sa, Baisheng","Zhou, Jian","Sun, Zhimei","Sa Baisheng,Zhou Jian,Sun Zhimei",INTERMETALLICS,Q1,3.353,22,-,92-98,2012,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0966979511003621?via%3Dihub,2012intermetallics-sa.pdf,2012intermetallics-sa.jpg,"First-principles calculations are used to study the elastic, electronic, vibrational and thermodynamic properties of the rare earth intermetallic YbAl3 under pressure up to 41.9 GPa. Using the total energy calculations combined with the shear-strain method and phonon calculations, we found that YbAl3 has good mechanical and dynamical stability at the pressure range in our study. The trends of elastic constants, bulk modulus and shear modulus varieties under pressure are predicted. Moreover, we have estimated the Debye temperatures of YbAl3 under pressure from the average sound velocity. We have in addition analyzed the charge transfer, electronic structure, chemical bonding and lattice dynamic properties of YbAl3 under pressure. We pointed out that the Al atoms play a more important role than Yb in the performance changes under pressure. Finally, predictions of the isochoric heat capacity C-V, isobaric heat capacity C-p and thermodynamic properties under various pressures for YbAl3 are found to be comparable to the experimental results using the supercell phonon calculation and the quasi-harmonic approximation method.",
Amorphous structure melt-quenched from defective Ge2Sb2Te5,"Sun, Zhimei",-,"Sun, Zhimei","Sun, Zhimei",JOURNAL OF MATERIALS SCIENCE,Q2,3.442,47,21,7635-7641,2012,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA",https://link.springer.com/article/10.1007%2Fs10853-012-6607-8,2012jms-sun-JMS-invited-2012.pdf,2012jms-sun-JMS-invited-2012.jpg,"Ge2Sb2Te5 (GST) is a technologically important phase-change material for data storage, where the fast reversible phase transition between crystalline and amorphous states is used for recording information. The encoding is achieved by the large contrast in physical properties between the two states. Ge vacancies (V-Ge) and Sb antisite atoms (Sb-Te) are primary point defects in crystalline GST. The effect of V-Ge and Sb-Te on the atomic arrangements in amorphous GST is unknown, which, however, has significant effects on the performance of GST. In this work, by means of ab initio molecular dynamics calculations, the atomic arrangements in amorphous ideal and defective GST have been investigated. The results show that the amorphous structure of GST with Sb-Te (St-GST) or with V-Ge (V-GST) has the same cubic framework and close chemical ordering to ideal GST, and hence similar fast reversible phase transition behavior is expected in the defective phases. Furthermore, the presence of Sb-Te or V-Ge in the crystalline phase will result in much more Ge atoms in a tetrahedral geometry as well as in a fourfold octahedral environment in the amorphous state. Especially in V-GST, around 36 % Ge atoms occupy a fourfold octahedral geometry. As fourfold octahedral Ge atoms can enhance the large contrast in physical properties between the crystalline and amorphous phases, introducing Ge vacancies would be an efficient way to improve the performance of GST phase-change materials.",
Ab initio study of antisite defective layered Ge2Sb2Te5,"Zhou, Jian","Sun, Zhimei","Sun, Zhimei","Zhou Jian,Sun Zhimei,Pan Yuanchun,Song Zhitang,Ahuja Rajeev",MATERIALS CHEMISTRY AND PHYSICS,Q2,2.781,133,1,159-162,2012,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND",https://www.sciencedirect.com/science/article/pii/S0254058412000144?via%3Dihub,2012mcp-zhou-mcp-2012.pdf,2012mcp-zhou-mcp-2012.jpg,"By means of ab initio calculations, we have investigated the antisite defects in layered Ge2Sb2Te5 (GST). Our results show that both Te-sb and Sb-Te antisite defective GST alloys are energetically favorable and mechanically stable. Furthermore, the presence of antisite defects results in the decrease in band gaps and hence the increase in the electrical conductivity, while shows slight effect on chemical bonding characters. Based on the present results, increased electrical conductivity and decreased thermal conductivity are expected by introducing antisite defects in GST related layered materials.",
Peierls distortion mediated reversible phase transition in GeTe under pressure,"Sun, Zhimei","Zhou, Jian","Sun Zhimei, Mao Ho-Kwang","Sun Zhimei, Zhou Jian, Mao Ho-Kwang ,Ahuja, Rajeev",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Q1,9.58,109,16,5948-5952,2012,"NATL ACAD SCIENCES, 2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",https://www.pnas.org/content/109/16/5948,2012pnas-sun-PNAS-2012-5948-52.pdf,2012pnas-sun-PNAS-2012-5948-52.jpg,"With the advent of big synchrotron facilities around the world, pressure is now routinely placed to design a new material or manipulate the properties of materials. In GeTe, an important phase-change material that utilizes the property contrast between the crystalline and amorphous states for data storage, we observed a reversible phase transition of rhombohedral <-> rocksalt <-> orthorhombic <-> monoclinic coupled with a semiconductor <-> metal interconversion under pressure on the basis of ab initio molecular dynamics simulations. This interesting reversible phase transition under pressure is believed to be mediated by Peierls distortion in GeTe. Our results suggest a unique way to understand the reversible phase transition and hence the resistance switching that is crucial to the applications of phase-change materials in nonvolatile memory. The present finding can also be expanded to other IV-VI semiconductors.",
Topological Insulating in GeTe/Sb2Te3 Phase-Change Superlattice,"Sa, Baisheng","Zhou, Jian","Sun, Zhimei","Sa Baisheng,Zhou Jian,Sun Zhimei,Tominaga, Junji,Ahuja Rajeev",PHYSICAL REVIEW LETTERS,Q1,9.227,109,9,96802,2012,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.109.096802,2012prl-sa.pdf,2012prl-sa.jpg,"GeTe/Sb2Te3 superlattice phase-change memory devices demonstrated greatly improved performance over that of Ge2Sb2Te5, a prototype record media for phase-change random access memory. In this work, we show that this type of GeTe/Sb2Te3 superlattice exhibits topological insulating behavior on the basis of ab initio calculations. The analysis of the band structures and parities as well as Z(2) topological invariants unravels the topological insulating nature in these artificial materials. Furthermore, the topological insulating character remains in the GeTe/Sb2Te3 superlattice under small compressive strains, whereas it is not observed as more Sb2Te3 building blocks introduced in the superlattice. The present results show that multifunctional data storages may be achieved in the GeTe/Sb2Te3 superlattice. Such kinds of artificial materials can be used in phase-change random access memory, spintronics, and quantum computing.",
Local atomic structure in molten Si3Sb2Te3 phase change material,"Li, Xuelai","Sun, Zhimei","Li, Xuelai","Li Xuelai,Sun Zhimei,Rao Feng,Song Zhitang,Liu Weili,Sa Baisheng",SOLID STATE COMMUNICATIONS,Q3,1.433,152,2,100-103,2012,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109811005709?via%3Dihub,2012ssc-lixuelai.pdf,2012ssc-lixuelai.jpg,"By means of ab initio molecular dynamics calculations, we have studied the local structures of liquid and amorphous Si3Sb2Te3. The results show that all the constitute elements in liquid Si3Sb2Te3 are octahedrally coordinated. While in amorphous state, Sb and Te atoms are mainly octahedrally coordinated and Si atoms are mainly tetrahedrally coordinated. In both states, Si is mainly homo-bonded by Si. Finally, we proposed a phase separation model for liquid and amorphous Si3Sb2Te3, which is responsible for the good performance of Si3Sb2Te3 alloy as a phase change material. (C) 2011 Elsevier Ltd. All rights reserved.",
Effect of rare earth elements on the structures and mechanical properties of magnesium alloys,Lu Zhong,Zhou Jian,Zhou Jian,"Lu Zhong,Zhou Jian,Sun ZhiMei,Chen RongShi",CHINESE SCIENCE BULLETIN,Q2,1.649,58,7,816-820,2013,"SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA",https://link.springer.com/article/10.1007%2Fs11434-012-5617-x,2013csb-lvzhong.pdf,2013csb-lvzhong.jpg,"By means of first-principles calculations, we have investigated the effects of rare earth elements (REEs) on the structures and mechanical properties of magnesium. The lattice parameters, elastic constants, bulk moduli, shear moduli, Young's moduli and anisotropic parameter of these solid solutions have been calculated and analyzed. The nearest-neighbor distance between Mg and the REEs is also analyzed to explore the correlation with the bulk moduli. The results show that the 4f-electrons and atomic radii play an important role in the strengthening process. The anomalies of the lattice parameters and mechanical properties at Eu and Yb are due to the half-filled and full-filled 4f-electron orbital states. Finally, the increase of directional bonding character near the alloying elements may account for the anisotropy and brittleness of these magnesium alloys.",
Investigation of the structure and properties of rhombohedral Cu-Ge-Te alloys by ab initio calculations,"Sun, Zhimei","Tian, Shiwen","Sun, Zhimei","Sun Zhimei,Tian Shiwen,Sa Baisheng",INTERMETALLICS,Q1,3.353,32,-,292-296,2013,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0966979512003172?via%3Dihub,2013intermetallics-sun-intermetallics2013.pdf,2013intermetallics-sun-intermetallics2013.jpg,"Crystallization property of amorphous GeTe can be significantly improved by doping Cu. However, the effect of Cu on the structure and electrical properties of crystalline GeTe is not clear, which is of great importance for phase-change memory. In this work, we have studied the effect of Cu on the structure and properties of crystalline GeTe by means of ab initio calculations. The results show that it is energetically favorable to obtain rhombohedral structured CunGe32-m-nTe32 films by co-sputtering defective Ge32-mTe32 and Cu as characterized by the negative formation energies. The doped Cu has slight effect on the structure property and chemical bonding of GeTe but has remarkable effect on the electrical properties. The results show that CunGe32-nTe32 alloys might be a good candidate material for phase-change memory.",
